SPECIAL-OTH,E018,QN,40.647971,-73.789252,483,28,8037618,1/26/2018,4798019,4142600001
SPECIAL-OTH,E018,QN,40.647971,-73.789252,483,28,8037617,1/26/2018,4798020,4142600001
SPECIAL-OTH,E018,QN,,,,,8037616,1/25/2018,4799459,
SPECIAL-OTH,E018,QN,,,,,8037615,1/25/2018,4799450,
SPECIAL-OTH,E018,QN,,,,,8037614,1/25/2018,4799448,
SPECIAL-OTH,E018,QN,,,,,8037613,1/25/2018,4799457,
ABATE,E036,MN,40.751219,-73.976677,105,4,8037612,1/30/2018,1036152,1012960014
ALT,E278,BK,40.575081,-74.001526,313,47,8037611,1/30/2018,3255461,3070050046
CONSTR,E278,BK,40.605797,-73.987352,311,44,8037610,1/30/2018,3414453,3062530033
STRUC_INT_3,S252,BK,,,,,8036855,1/30/2018,3414225,
STRUC_INT_6,S252,BK,40.693016,-73.905359,304,37,8036846,1/30/2018,3079372,3034250023
STRUC_INT_3,S252,BK,40.693016,-73.905359,304,37,8036845,1/30/2018,3079372,3034250023
STRUC_INT_2,L161,BK,40.59511,-73.994552,311,47,8036654,1/30/2018,3396929,3068900020
STRUC_INT_3,L160,QN,,,,,8036614,1/30/2018,4538609,
CONSTR,L148,BK,40.633166,-73.989505,312,44,8036469,1/30/2018,3398008,3056437506
CONSTR,L148,BK,40.633251,-73.989645,312,44,8036394,1/30/2018,3137776,3056430012
CONSTR,L148,BK,40.626247,-73.977917,312,44,8036373,1/30/2018,3129291,3054570006
COMPLAINT,L146,BK,40.722901,-73.937984,301,34,8036326,1/30/2018,3338231,3028180014
STRUC_INT_3,L131,BK,40.677217,-73.993265,306,39,8036138,1/30/2018,3008003,3004650012
STRUC_INT_6,L131,BK,40.677838,-73.994304,306,39,8036132,1/30/2018,3007984,3004640034
CDA-90-DRILL,L130,QN,,,,,8036118,1/30/2018,4864543,
CDA-90-DRILL,L130,QN,,,,,8036114,1/30/2018,4541700,
ALT,L122,BK,,,,,8036018,1/30/2018,3421622,
ALT,L122,BK,40.665077,-73.991569,307,39,8035973,1/30/2018,3024158,3010527502
CDA-90-DRILL,L119,BK,,,,,8035966,1/30/2018,3399709,
ANNUL-COL-UNI,L119,BK,40.690867,-73.964936,302,35,8035944,1/30/2018,3348076,3019190001
CONSTR,L116,QN,40.753462,-73.92952,401,26,8035871,1/30/2018,4004559,4003750024
ALT,L116,QN,40.752974,-73.929907,401,26,8035854,1/30/2018,4004563,4003750033
ALT,L115,QN,,,,,8035852,1/30/2018,4618218,
FORTH,L115,QN,40.749265,-73.943485,402,26,8035828,1/30/2018,4436809,4004360021
FPS-OOS,L115,QN,40.745715,-73.94862,402,26,8035820,1/30/2018,4000465,4000550001
STRUC_INT_6,L107,BK,,,,,8035740,1/30/2018,3424763,
STRUC_INT_3,L107,BK,,,,,8035739,1/30/2018,3399246,
STRUC_INT_3,L107,BK,,,,,8035738,1/30/2018,3399247,
CONSTR,L106,BK,,,,,8035713,1/30/2018,3418262,
ALT,L106,BK,40.729525,-73.958673,301,33,8035698,1/30/2018,3064788,3025620010
ALT,L106,BK,40.725943,-73.951218,301,33,8035692,1/30/2018,3065641,3026200028
ALT,L105,BK,40.676697,-73.979735,306,39,8035684,1/30/2018,3019769,3009530012
CONSTR,L052,BX,,,,,8035363,1/30/2018,2831362,
CONSTR,L052,BX,,,,,8035361,1/30/2018,2083228,
ANNUL-COL-UNI,L046,BX,40.875027,-73.895174,208,11,8035220,1/30/2018,2015222,2032460002
ANNUL-COL-UNI,L046,BX,40.886332,-73.901564,208,11,8035213,1/30/2018,2084006,2057740240
STRUC_INT_3,L043,MN,40.78351,-73.948796,108,5,8035159,1/30/2018,1049219,1015400014
ALT,L028,MN,40.817307,-73.945035,110,9,8034863,1/30/2018,1058980,1019420057
STRUC_INT_3,L026,MN,40.795436,-73.932473,111,8,8034795,1/30/2018,1053165,1017150049
COMPLAINT,L024,MN,40.746729,-73.999228,104,3,8034771,1/30/2018,1083596,1007480001
COMPLAINT,L013,MN,40.78069,-73.959548,108,4,8034687,1/30/2018,1046830,1014970009
COMPLAINT,L012,MN,40.74324,-74.001797,104,3,8034671,1/30/2018,1013120,1007420056
CDA-90-DRILL,L005,MN,,,,,8034551,1/30/2018,1080269,
STRUC_INT_3,L005,MN,40.739178,-74.007037,102,3,8034541,1/30/2018,1080258,1006430049
ALT,L005,MN,40.739178,-74.007037,102,3,8034540,1/30/2018,1080258,1006430049
STRUC_INT_3,L005,MN,40.739183,-74.007567,102,3,8034538,1/30/2018,1080257,1006430043
STANDARD,L002,MN,40.75551,-73.968428,106,4,8034470,1/30/2018,1038460,1013240029
CONSTR,E332,BK,,,,,8034458,1/30/2018,3815665,
STRUC_INT_2,E329,QN,40.55688,-73.920731,414,32,8034394,1/30/2018,4467081,4163500400
COMPLAINT,E314,QN,40.675318,-73.729389,413,31,8034212,1/30/2018,4279607,4129810135
CONSTR,E313,QN,40.766096,-73.732868,411,19,8034192,1/30/2018,4171078,4082340120
COMPLAINT,E312,QN,40.783037,-73.914352,401,22,8034167,1/30/2018,4020314,4008930080
CONSTR,E310,BK,,,,,8034164,1/30/2018,3842707,
STRUC_INT_3,E310,BK,40.64478,-73.929282,317,45,8034152,1/30/2018,3327615,3047610037
ABATE,E307,QN,40.752773,-73.896705,403,25,8034100,1/30/2018,4028492,4012420032
CONSTR,E307,QN,40.752773,-73.896705,403,25,8034099,1/30/2018,4028492,4012420032
CONSTR,E304,QN,40.703908,-73.739948,413,27,8034062,1/30/2018,4242068,4112310246
COMPLAINT,E303,QN,40.684263,-73.801984,412,28,8034059,1/30/2018,4258559,4119570025
ANNUL-COL-UNI,E299,QN,40.736313,-73.817735,408,24,8033980,1/30/2018,4439915,4065170001
STRUC_INT_3,E284,BK,40.617705,-74.008814,310,43,8033861,1/30/2018,3161942,3062560067
STRUC_INT_3,E284,BK,,,,,8033858,1/30/2018,3165514,
ALT,E276,BK,40.608668,-73.961763,315,48,8033808,1/30/2018,3409253,3067740059
CONSTR,E276,BK,,,,,8033795,1/30/2018,3182880,
FORTH,E265,QN,40.596262,-73.786484,414,31,8033714,1/30/2018,4436447,4160020001
STRUC_INT_6,E263,QN,40.770642,-73.910523,401,22,8033682,1/30/2018,4441105,4008040046
CONSTR,E254,BK,40.598226,-73.967609,315,47,8033613,1/30/2018,3191879,3071070243
CONSTR,E254,BK,40.598929,-73.967742,315,47,8033602,1/30/2018,3191891,3071070064
CONSTR,E251,QN,40.737996,-73.703921,413,23,8033570,1/30/2018,4179985,4087940022
ALT,E250,BK,40.631322,-73.976521,314,44,8033547,1/30/2018,3127540,3054080043
CDA-90-DRILL,E239,BK,,,,,8033362,1/30/2018,3023866,
STRUC_INT_3,E235,BK,40.686377,-73.951189,303,36,8033321,1/30/2018,3421817,3018070059
ALT,E231,BK,40.669782,-73.899757,305,42,8033244,1/30/2018,3084027,3037500013
STRUC_INT_3,E230,BK,,,,,8033234,1/30/2018,3425732,
STRUC_INT_6,E230,BK,40.700011,-73.946011,303,36,8033185,1/30/2018,3048321,3017220016
STRUC_INT_3,E228,BK,40.660002,-74.000721,307,38,8033122,1/30/2018,3009723,3006600018
STRUC_INT_3,E228,BK,40.657436,-74.002519,307,38,8033116,1/30/2018,3009993,3006760027
COMPLAINT,E227,BK,40.668294,-73.916875,316,41,8033098,1/30/2018,3080957,3035150025
ANNUL-COL-UNI,E224,BK,40.692135,-73.993776,302,33,8033050,1/30/2018,3002580,3002670027
STRUC_INT_3,E224,BK,40.691888,-73.995016,302,33,8033036,1/30/2018,3002515,3002630057
FORTH,E224,BK,40.691699,-73.995496,302,33,8033033,1/30/2018,3002473,3002630010
ANNUL-COL-UNI,E224,BK,40.692533,-73.994706,302,33,8033029,1/30/2018,3002504,3002630044
STRUC_INT,E221,BK,40.711053,-73.967778,301,33,8032991,1/30/2018,3063639,3024680026
CONSTR,E220,BK,40.667448,-73.987427,306,39,8032907,1/30/2018,3022921,3010230003
STRUC_INT_3,E220,BK,40.668548,-73.984377,306,39,8032905,1/30/2018,3022136,3010057502
STRUC_INT_3,E216,BK,40.711747,-73.945396,301,34,8032859,1/30/2018,3069429,3027820042
ALT,E216,BK,40.711747,-73.945396,301,34,8032858,1/30/2018,3069429,3027820042
CONSTR,E210,BK,,,,,8032792,1/30/2018,3412985,
CONSTR,E210,BK,,,,,8032791,1/30/2018,3835027,
CONSTR,E210,BK,,,,,8032790,1/30/2018,3412983,
CONSTR,E210,BK,,,,,8032789,1/30/2018,3412986,
STRUC_INT_6,E210,BK,,,,,8032788,1/30/2018,3817138,
CONSTR,E210,BK,,,,,8032787,1/30/2018,3418289,
CONSTR,E207,BK,,,,,8032713,1/30/2018,3424494,
CONSTR,E207,BK,,,,,8032711,1/30/2018,3421807,
CONSTR,E207,BK,40.695653,-73.983801,302,35,8032698,1/30/2018,3000250,3001330015
STRUC_INT_2,E164,SI,,,,,8032600,1/30/2018,5170105,
STRUC_INT_6,E164,SI,40.522876,-74.176899,503,51,8032599,1/30/2018,5166361,5064750100
STRUC_INT_2,E164,SI,40.531924,-74.158886,503,51,8032593,1/30/2018,5069633,5053780010
CONSTR,E156,SI,40.623632,-74.105681,501,49,8032514,1/30/2018,5169901,5002790082
COMPLAINT,E095,MN,40.871965,-73.917434,112,10,8032425,1/30/2018,1065037,1022430372
COMPLAINT,E092,BX,40.832519,-73.91083,204,16,8032379,1/30/2018,2002153,2024300030
ANNUL-COL-UNI,E075,BX,40.857728,-73.913045,205,14,8032148,1/30/2018,2100252,2032220062
CONSTR,E069,MN,40.824837,-73.941238,110,9,8032054,1/30/2018,1089408,1020457506
CONSTR,E069,MN,40.829337,-73.938412,110,9,8032049,1/30/2018,1060903,1020470044
STRUC_INT_3,E065,MN,40.752071,-73.980174,105,4,8031989,1/30/2018,1035322,1012750059
CDA-90-DRILL,E065,MN,,,,,8031987,1/30/2018,1015968,
STRUC_INT_3,E065,MN,40.753567,-73.980358,105,4,8031982,1/30/2018,1035344,1012770002
CDA-90-DRILL,E065,MN,,,,,8031979,1/30/2018,1015939,
FPS-OOS,E062,BX,40.878478,-73.867248,212,12,8031907,1/30/2018,2119734,2046420062
FPS-OOS,E062,BX,,,,,8031906,1/30/2018,2118398,
STRUC_INT_3,E060,BX,40.807758,-73.928394,201,8,8031863,1/30/2018,2128931,2023090012
CONSTR,E060,BX,,,,,8031860,1/30/2018,2128365,
